symptom,disease,doctor
" acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  irritability,  visual_disturbances",Migraine,Neurologist
" acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  visual_disturbances",Migraine,Neurologist
" acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability",Migraine,Neurologist
" back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" back_pain,  neck_pain,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" back_pain,  weakness_in_limbs,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" back_pain,  weakness_in_limbs,  neck_pain,  loss_of_balance",Cervical spondylosis,General Physician
" back_pain,  weakness_in_limbs,  neck_pain,  dizziness",Cervical spondylosis,General Physician
" back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" back_pain,  neck_pain,  dizziness,  loss_of_balance",Cervical spondylosis,General Physician
" vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" headache,  weakness_of_one_body_side,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" vomiting,  weakness_of_one_body_side,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" vomiting,  headache,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" vomiting,  headache,  weakness_of_one_body_side",Paralysis (brain hemorrhage),General Physician
" vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" headache,  weakness_of_one_body_side,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" vomiting,  weakness_of_one_body_side,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
" vomiting,  headache,  altered_sensorium",Paralysis (brain hemorrhage),General Physician
"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",Jaundice,General Physician
"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",Jaundice,General Physician
" vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",Jaundice,General Physician
"itching,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",Jaundice,General Physician
"itching,  vomiting,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",Jaundice,General Physician
"itching,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",Jaundice,General Physician
"itching,  vomiting,  fatigue,  weight_loss,  yellowish_skin,  dark_urine,  abdominal_pain",Jaundice,General Physician
"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  dark_urine,  abdominal_pain",Jaundice,General Physician
"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  abdominal_pain",Jaundice,General Physician
"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine",Jaundice,General Physician
" chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain",Malaria,General Physician
" chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Malaria,General Physician
" chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Malaria,General Physician
" vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Malaria,General Physician
" chills,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Malaria,General Physician
" chills,  vomiting,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Malaria,General Physician
" chills,  vomiting,  high_fever,  headache,  nausea,  diarrhoea,  muscle_pain",Malaria,General Physician
" chills,  vomiting,  high_fever,  sweating,  nausea,  diarrhoea,  muscle_pain",Malaria,General Physician
" chills,  vomiting,  high_fever,  sweating,  headache,  diarrhoea,  muscle_pain",Malaria,General Physician
" chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain",Malaria,General Physician
"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
" skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  skin_rash,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  skin_rash,  fatigue,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  skin_rash,  fatigue,  lethargy,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  swelled_lymph_nodes,  malaise,  red_spots_over_body",Chicken pox,General Physician
"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  malaise,  red_spots_over_body",Chicken pox,General Physician
" skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  red_spots_over_body",Dengue,General Physician
" skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain",Dengue,General Physician
" skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" skin_rash,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" skin_rash,  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" skin_rash,  chills,  joint_pain,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" skin_rash,  chills,  joint_pain,  vomiting,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",Dengue,General Physician
" chills,  vomiting,  fatigue,  high_fever,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  diarrhoea,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  belly_pain",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos)",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" chills,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain",Typhoid,General Physician
" joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain",hepatitis A,General Physician
" joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain",hepatitis A,General Physician
" vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain",hepatitis A,General Physician
" joint_pain,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain",hepatitis A,General Physician
" joint_pain,  vomiting,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  diarrhoea,  mild_fever,  yellowing_of_eyes,  muscle_pain",hepatitis A,General Physician
